node_id,Building_type,city,county,County_code,District,Route_Number,TOTAL_CF,TOTAL_WG,TOTAL_AQI,TOTAL_RF
61,Hospital,Alameda,Alameda,ALA,4,61,403.145,63696.91,206,20759.5
62,Hospital,"Albany, CA",Alameda,ALA,4,80,112.285,17741.03,206,212822
63,Hospital,"Ashland, CA",Alameda,ALA,4,185,124.47,19666.26,206,19222
64,Hospital,"Berkeley, CA",Alameda,ALA,4,80,609.11,96239.38,206,212822
65,Hospital,Castro Valley,Alameda,ALA,4,580,321.785,50842.03,206,139764.1053
66,Hospital,Cherryland,Alameda,ALA,4,238,88.485,13980.63,206,58310.88889
67,Hospital,"Dublin, CA",Alameda,ALA,4,680,288.32,45554.56,205,116809.5
68,Hospital,Emeryville,Alameda,ALA,4,123,70.98,11214.84,206,20193.42857
69,Hospital,"Fairview, CA",Alameda,ALA,4,580,64.86,10247.88,207,139764.1053
70,Hospital,"Hayward, CA",Alameda,ALA,4,92,787.905,124488.99,207,78647.13514
71,Mall,Alameda,Alameda,ALA,4,61,434.21,68605.18,206,20925.5
72,Mall,"Albany, CA",Alameda,ALA,4,80,143.35,22649.3,206,212988
73,Mall,"Ashland, CA",Alameda,ALA,4,185,155.535,24574.53,206,19388
74,Mall,"Berkeley, CA",Alameda,ALA,4,80,640.175,101147.65,206,212988
75,Mall,Castro Valley,Alameda,ALA,4,580,352.85,55750.3,206,139930.1053
76,Mall,Cherryland,Alameda,ALA,4,238,119.55,18888.9,206,58476.88889
77,Mall,"Dublin, CA",Alameda,ALA,4,680,319.385,50462.83,205,116975.5
78,Mall,Emeryville,Alameda,ALA,4,123,102.045,16123.11,206,20359.42857
79,Mall,"Fairview, CA",Alameda,ALA,4,580,95.925,15156.15,207,139930.1053
80,Mall,"Hayward, CA",Alameda,ALA,4,92,818.97,129397.26,207,78813.13514
81,Small Office,"Fremont, CA",Alameda ,ALA,4,84,1144.76,180872.08,176.5,38360.57143
82,Medium Office,"Fremont, CA",Alameda ,ALA,4,84,1169.445,184772.31,176.5,38388.57143
83,Large Office,"Fremont, CA",Alameda ,ALA,4,84,1193.255,188534.29,176.5,38390.57143
84,Primary School,"Fremont, CA",Alameda ,ALA,4,84,1190.015,188022.37,176.5,38352.57143
85,Secondary School,"Fremont, CA",Alameda ,ALA,4,84,1231.66,194602.28,176.5,38394.57143
86,University,"Fremont, CA",Alameda ,ALA,4,84,1332.83,210587.14,202,38518.57143
87,Hospital,"Fremont, CA",Alameda ,ALA,4,84,1158.635,183064.33,202,38450.57143
88,Mall,"Fremont, CA",Alameda ,ALA,4,84,1189.7,187972.6,202,38616.57143
